Title,Date
"Rebel Moon – Teil 2: Director's Cut","5/16/26"
"Rebel Moon – Teil 1: Director's Cut","5/16/26"
"Iron Man: Rise of Technovore","5/16/26"
"Shangri-La Frontier: 1st Staffel: Nächtlicher Angriff des schwarzen Wolfes","5/15/26"
"Shangri-La Frontier: 1st Staffel: Ein einzigartiges Wesen","5/15/26"
"Shangri-La Frontier: 1st Staffel: Wofür spielst du Videospiele?","5/15/26"
"Die wandernde Erde","5/15/26"
"The Rain: Staffel 1: Bleibt drinnen","5/15/26"
"The Core – Der innere Kern","5/8/26"
"Godzilla II: King of the Monsters","5/1/26"
"Mushoku Tensei: Jobless Reincarnation: Staffel 1: Folge 1","4/28/26"
"Godzilla x Kong: The New Empire","4/28/26"
"Transformers: Ära des Untergangs","4/14/26"
"Transformers One","4/12/26"
"SPY x FAMILY: Staffel 3: Nur keinen Tonitrus / ■■■■s Erinnerungen","4/8/26"
"SPY x FAMILY: Staffel 3: Panik in Berlint / Nightfall und der Informant","4/8/26"
"The Batman","4/7/26"
"ONE PIECE: Staffel 2: WHISKEY BUSINESS","4/5/26"
"ONE PIECE: Staffel 2: GOOD WHALE HUNTING","4/5/26"
"ONE PIECE: Staffel 2: DER ANFANG UND DAS ENDE","4/5/26"
"Final Fantasy – Die Mächte in dir","4/5/26"
"Nuklearer Notfall: Eine Katastrophe, wie Brasilien sie noch nie erlebt hat","3/24/26"
"Dark Winds – Der Wind des Bösen: Staffel 1: Regentanz","3/24/26"
"Dark Winds – Der Wind des Bösen: Staffel 1: Monsterjäger","3/24/26"
"Yu Yu Hakusho: Folge 5","3/11/26"
"Yu Yu Hakusho: Folge 4","3/11/26"
"Yu Yu Hakusho: Folge 3","3/11/26"
"Yu Yu Hakusho: Folge 2","3/11/26"
"Yu Yu Hakusho: Folge 1","3/11/26"
"House of Ninjas: Die Auferstehung","3/10/26"
"House of Ninjas: Die Blume","3/9/26"
"House of Ninjas: Die Spur","3/9/26"
"House of Ninjas: Das Angebot","3/9/26"
"Ragnarök: Staffel 1: Der Neue","3/9/26"
"Spider-Man: Homecoming","3/6/26"
"Resident Evil: Der Teufel, den du kennst","3/6/26"
"Resident Evil: Willkommen in Racoon City","3/6/26"
"Unsichtbare Stadt: Staffel 1: Du würdest mir nicht glauben","3/6/26"
"Unsichtbare Stadt: Staffel 1: Cuca kommt dich holen","3/6/26"
